#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_wdatap2308,#item+rem+i_fra+is_latn+ix_wdatap2308,#item+rem+i_spa+is_latn+ix_wdatap2308,#item+rem+i_eng+is_latn+ix_wdatap1448,#item+rem+i_fra+is_latn+ix_wdatap1448,#item+rem+i_spa+is_latn+ix_wdatap1448
1,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Anthrax,Cowdriose,Carbunco bacteridiano
2,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Aujeszky’s disease,Echinococcose/hydatidose,Cowdriosis
3,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Echinococcosis/hydatidosis,Fièvre charbonneuse,Enfermedad de Aujeszky
4,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Heartwater,Fièvre Q,Equinococosis/hidatidosis
5,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Leptospirosis,Leptospirose,Fiebre Q
6,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,New world screwworm (Cochliomyia hominivorax),Maladie d’Aujeszky,Leptospirosis
7,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Old world screwworm (Chrysomya bezziana),Myiase à Chrysomya bezziana,Miasis por Chrysomya bezziana
8,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Paratuberculosis,Myiase à Cochliomyia hominivorax,Miasis por Cochliomyia hominivorax
9,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Q fever,Paratuberculose,Paratuberculosis
10,Q39222,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Rabies,Rage,Rabia
11,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Trichinellosis,Trichinellose,Triquinelosis
12,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine anaplasmosis,Anaplasmose bovine,Anaplasmosis bovina
13,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine babesiosis,Babésiose bovine,Babesiosis bovina
14,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine brucellosis,Brucellose bovine,Brucelosis bovina
15,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine cysticercosis,Campylobactériose génitale bovine,Campilobacteriosis genital bovina
16,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine genital campylobacteriosis,Coryza gangreneux,Cisticercosis bovina
17,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine spongiform encephalopathy,Cysticercose bovine,Dermatofilosis
18,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine tuberculosis,Dermatophilose,Encefalopatía espongiforme bovina
19,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Dermatophilosis,Encéphalopathie spongiforme bovine,Fiebre catarral maligna
20,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Enzootic bovine leukosis,Leucose bovine enzootique,Leucosis bovina enzoótica
21,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Haemorrhagic septicaemia,Rhinotrachéite infectieuse bovine/vulvovaginite pustuleuse infectieuse,Rinotraqueítis infecciosa bovina/vulvovaginitis pustular infecciosa
22,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,Septicémie hémorragique,Septicemia hemorrágica
23,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Malignant catarrhal fever,Theilériose,Teileriosis
24,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Theileriosis,Trichomonose,Tricomonosis
25,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Trichomonosis,Trypanosomose (transmise par tsé-tsé),Tripanosomosis (transmitida por tsetsé)
26,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Trypanosomosis (tsetse-transmitted),Tuberculose bovine,Tuberculosis bovina
27,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Caprine and ovine brucellosis (excluding B. ovis),Adénomatose pulmonaire ovine,Aborto enzoótico de las ovejas (clamidiosis ovina)
28,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Caprine arthritis/encephalitis,Agalaxie contagieuse,Adenomatosis pulmonar ovina
29,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Contagious agalactia,Arthrite/encéphalite caprine,Agalaxia contagiosa
30,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Contagious caprine pleuropneumonia,Avortement enzootique des brebis (chlamydiose ovine),Artritis/encefalitis caprina
31,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Enzootic abortion of ewes (ovine chlamydiosis),Brucellose caprine et ovine (non due à B. ovis),Brucelosis caprina y ovina (no debida a B. ovis)
32,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Maedi-visna,Epididymite ovine (Brucella ovis),Enfermedad de Nairobi
33,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Nairobi sheep disease,Maedi-visna,Epididimitis ovina (Brucella ovis)
34,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Ovine epididymitis (Brucella ovis),Maladie de Nairobi,Maedi-visna
35,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Ovine pulmonary adenomatosis,Pleuropneumonie contagieuse caprine,Pleuroneumonía contagiosa caprina
36,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Salmonellosis (S. abortusovis),Salmonellose (S. abortusovis),Prurigo lumbar
37,,Sheep and goat diseases,Maladies des ovins et des caprins,Enfermedades des los ovinos y caprinos,Scrapie,Tremblante,Salmonelosis (S. abortusovis)
38,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Contagious equine metritis,Anémie infectieuse des équidés,Anemia infecciosa equina
39,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Dourine,Artérite virale équine,Arteritis viral equina
40,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Epizootic lymphangitis,Dourine,Durina
41,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Equine encephalomyelitis (Eastern and Western),Encéphalite japonaise,Encefalitis japonesa
42,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Equine infectious anaemia,Encéphalomyélite équine de l’Est ou de l’Ouest,Encefalomielitis equina del Este o del Oeste
43,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Equine influenza,Encéphalomyélite équine vénézuélienne,Encefalomielitis equina venezolana
44,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Equine piroplasmosis,Gale des équidés,Gripe equina
45,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Equine rhinopneumonitis,Grippe équine,Linfangitis epizoótica
46,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Equine viral arteritis,Lymphangite épizootique,Metritis contagiosa equina
47,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Glanders,Métrite contagieuse équine,Muermo
48,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Horse mange,Morve,Piroplasmosis equina
49,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Horse pox,Piroplasmose équine,Rinoneumonía equina
50,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Japanese encephalitis,Rhinopneumonie équine,Sarna equina
51,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Surra (Trypanosoma evansi),Surra (Trypanosoma evansi),Surra (Trypanosoma evansi)
52,,Equine diseases,Maladies des équidés,Enfermedades de los équidos,Venezuelan equine encephalomyelitis,Variole équine,Viruela equina
53,,Swine diseases,Maladies des suidés,Enfermedades de los suidos,Atrophic rhinitis of swine,Brucellose porcine,Brucelosis porcina
54,,Swine diseases,Maladies des suidés,Enfermedades de los suidos,Enterovirus encephalomyelitis,Cysticercose porcine,Cisticercosis porcina
55,,Swine diseases,Maladies des suidés,Enfermedades de los suidos,Porcine brucellosis,Encéphalomyélite à entérovirus,Encefalomielitis por enterovirus
56,,Swine diseases,Maladies des suidés,Enfermedades de los suidos,Porcine cysticercosis,Gastro-entérite transmissible,Gastroenteritis transmisible
57,,Swine diseases,Maladies des suidés,Enfermedades de los suidos,Porcine reproductive and respiratory syndrome,Rhinite atrophique du porc,Rinitis atrófica del cerdo
58,,Swine diseases,Maladies des suidés,Enfermedades de los suidos,Transmissible gastroenteritis,Syndrome dysgénésique et respiratoire du porc,Síndrome disgenésico y respiratorio porcino
59,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Avian chlamydiosis,Bronchite infectieuse aviaire,Bronquitis infecciosa aviar
60,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Avian infectious bronchitis,Bursite infectieuse (Maladie de Gumboro),Bursitis infecciosa (Enfermedad de Gumboro)
61,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Avian infectious laryngotracheitis,Chlamydiose aviaire,Clamidiosis aviar
62,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Avian mycoplasmosis (M. gallisepticum),Choléra aviaire,Cólera aviar
63,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Avian tuberculosis,Entérite virale du canard,Enfermedad de Marek
64,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Duck virus enteritis,Hépatite virale du canard,Enteritis viral del pato
65,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Duck virus hepatitis,Laryngotrachéite infectieuse aviaire,Hepatitis viral del pato
66,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Fowl cholera,Maladie de Marek,Laringotraqueítis infecciosa aviar
67,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Fowl pox,Mycoplasmose aviaire (M. gallisepticum),Micoplasmosis aviar (M. gallisepticum)
68,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Fowl typhoid,Pullorose,Pulorosis
69,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Infectious bursal disease (Gumboro disease),Tuberculose aviaire,Tifosis aviar
70,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Marek’s disease,Typhose aviaire,Tuberculosis aviar
71,,Avian diseases,Maladies des oiseaux,Enfermedades de las aves,Pullorum disease,Variole aviaire,Viruela aviar
72,,Lagomorph diseases,Maladies des lagomorphes,Enfermedades de los lagomorfos,Myxomatosis,Maladie hémorragique du lapin,Enfermedad hemorrágica del conejo
73,,Lagomorph diseases,Maladies des lagomorphes,Enfermedades de los lagomorfos,Rabbit haemorrhagic disease,Myxomatose,Mixomatosis
74,,Lagomorph diseases,Maladies des lagomorphes,Enfermedades de los lagomorfos,Tularemia,Tularémie,Tularemia
75,,Bee diseases,Maladies des abeilles,Enfermedades de las abejas,Acariosis of bees,Acariose des abeilles,Acariosis de las abejas
76,,Bee diseases,Maladies des abeilles,Enfermedades de las abejas,American foulbrood,Loque américaine,Loque americana
77,,Bee diseases,Maladies des abeilles,Enfermedades de las abejas,European foulbrood,Loque européenne,Loque europea
78,,Bee diseases,Maladies des abeilles,Enfermedades de las abejas,Nosemosis of bees,Nosémose des abeilles,Nosemosis de las abejas
79,Q48564,Bee diseases,Maladies des abeilles,Enfermedades de las abejas,Varroosis,Varroose,Varroosis
80,,Fish diseases,Maladies des poissons,Enfermedades de los peces,Epizootic haematopoietic necrosis,Herpèsvirose du saumon masou,Herpesvirosis del salmón masou
81,,Fish diseases,Maladies des poissons,Enfermedades de los peces,Infectious haematopoietic necrosis,Nécrose hématopoïétique épizootique,Necrosis hematopoyética epizoótica
82,,Fish diseases,Maladies des poissons,Enfermedades de los peces,Oncorhynchus masou virus disease,Nécrose hématopoïétique infectieuse,Necrosis hematopoyética infecciosa
83,,Fish diseases,Maladies des poissons,Enfermedades de los peces,Spring viraemia of carp,Septicémie hémorragique virale,Septicemia hemorrágica viral
84,,Fish diseases,Maladies des poissons,Enfermedades de los peces,Viral haemorrhagic septicaemia,Virémie printanière de la carpe,Viremia primaveral de la carpa
85,,Mollusc diseases,Maladies des mollusques,Enfermedades de los moluscos,"Bonamiosis (Bonamia exitiosus, B. ostreae, Mikrocytos roughleyi)","Bonamiose (Bonamia exitiosus, B. ostreae, Mikrocytos roughleyi)","Bonamiosis (Bonamia exitiosus, B. ostreae, Mikrocytos roughleyi)"
86,,Mollusc diseases,Maladies des mollusques,Enfermedades de los moluscos,"Marteiliosis (Marteilia refringens, M. sydneyi)",Maladie MSX (Haplosporidium nelsoni),Enfermedad de MSX (Haplosporidium nelsoni)
87,,Mollusc diseases,Maladies des mollusques,Enfermedades de los moluscos,Mikrocytosis (Mikrocytos mackini),"Marteiliose (Marteilia refringens, M. sydneyi)","Marteiliosis (Marteilia refringens, M. sydneyi)"
88,,Mollusc diseases,Maladies des mollusques,Enfermedades de los moluscos,MSX disease (Haplosporidium nelsoni),Mikrocytose (Mikrocytos mackini),Microcitosis (Mikrocytos mackini)
89,,Mollusc diseases,Maladies des mollusques,Enfermedades de los moluscos,"Perkinsosis (Perkinsus marinus, P. olseni/atlanticus)","Perkinsose (Perkinsus marinus, P. olseni/atlanticus)","Perkinsosis (Perkinsus marinus, P. olseni/atlanticus)"
90,,Crustacean diseases,Maladies des crustacés,Enfermedades de crustáceos,Taura syndrome,Maladie de la tête jaune,Enfermedad de la cabeza amarilla
91,,Crustacean diseases,Maladies des crustacés,Enfermedades de crustáceos,White spot disease,Maladie des points blancs,Enfermedad de las manchas blancas
92,,Crustacean diseases,Maladies des crustacés,Enfermedades de crustáceos,Yellowhead disease,Syndrome de Taura,Síndrome de Taura
93,Q331283,Other List B diseases,Autres maladies de la liste B,Otras enfermedades de la Lista B,Leishmaniosis,Leishmaniose,Leishmaniosis
